Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-March-2018,545.80,549.25,541.00,544.20,545.937155175563593847,27369,633,14941754.00,13799,50.42,8.25,-1.60
21-March-2018,543.00,549.05,541.00,545.00,546.006159401051346041,18833,559,10282934.00,10296,54.67,8.05,2.00
20-March-2018,543.20,549.00,540.00,546.85,545.789360789360789360,25641,542,13994585.00,14433,56.29,9.00,3.65
19-March-2018,546.50,547.60,540.20,543.20,542.770340826686004350,13790,338,7484803.00,5979,43.36,7.40,-3.30
16-March-2018,554.70,560.00,544.65,547.00,552.455786458650740447,16409,610,9065247.00,5993,36.52,15.35,-7.70
15-March-2018,553.00,560.95,545.00,550.20,554.688036333213816182,41835,987,23205374.00,15522,37.10,15.95,-2.80
14-March-2018,540.00,555.00,537.95,550.25,546.719842130633887683,33192,872,18146725.00,9187,27.68,17.05,10.25
13-March-2018,538.00,540.90,533.30,538.40,537.166278656828315511,25343,565,13613405.00,10394,41.01,7.60,0.40
12-March-2018,533.10,542.00,533.10,536.45,537.917849052104447359,25161,571,13534551.00,11949,47.49,8.90,3.35
9-March-2018,552.60,552.60,530.00,532.75,541.188450651066238913,26495,622,14338788.00,8392,31.67,22.60,-19.85
8-March-2018,562.30,563.75,549.05,552.00,554.307150917621904139,33674,716,18665739.00,11448,34.00,14.70,-10.30
7-March-2018,562.50,566.70,557.30,559.00,560.800693802784937347,61689,1194,34595234.00,17972,29.13,9.40,-3.50
6-March-2018,555.00,568.00,554.00,559.65,563.333856233634976567,256263,2099,144361624.00,186434,72.75,14.00,4.65
5-March-2018,543.50,553.00,538.65,550.70,544.944957174158422415,75305,1675,41037080.00,21716,28.84,14.35,7.20
1-March-2018,541.05,550.95,541.00,543.40,545.902998439168651934,1034705,1182,564848562.00,990207,95.70,9.95,2.35
28-February-2018,540.75,546.65,537.50,543.75,543.781044941772503430,1037053,1711,563929764.00,1006042,97.01,9.15,3.00
27-February-2018,541.00,542.20,538.00,540.65,540.382490335051546391,37248,952,20128167.00,18089,48.56,4.20,-0.35
26-February-2018,535.00,542.30,532.00,536.90,538.629873001832311872,31654,795,17049790.00,8295,26.21,10.30,1.90
23-February-2018,521.15,536.50,521.15,533.80,530.953988200137920465,52204,1127,27717922.00,22112,42.36,15.35,12.65
22-February-2018,527.95,531.80,522.80,524.40,526.976627421071865516,62937,1366,33166328.00,25285,40.18,9.00,-3.55
21-February-2018,526.00,527.10,522.00,524.70,524.413261905349692645,40507,812,21242408.00,17000,41.97,5.10,-1.30
20-February-2018,521.05,528.00,521.05,524.55,524.882438710114950323,29491,842,15479308.00,10257,34.78,6.95,3.50
19-February-2018,521.90,527.50,517.40,523.35,520.938722816706938211,72425,2103,37728987.00,20755,28.66,10.10,1.45
16-February-2018,526.10,532.05,520.40,521.80,525.148280458544388163,56265,1940,29547468.00,16558,29.43,11.65,-4.30
15-February-2018,529.20,534.60,526.65,529.55,530.005036835477848055,69091,2448,36618578.00,24949,36.11,7.95,0.35
14-February-2018,537.10,540.00,530.00,531.10,533.944078319542836613,89071,3230,47558933.00,33499,37.61,10.00,-6.00
12-February-2018,538.00,549.85,531.00,534.95,537.788954475620603218,136037,2553,73159196.00,41318,30.37,18.85,-3.05
9-February-2018,544.90,544.90,524.20,535.10,534.102562067960125925,541906,11900,289433383.00,129842,23.96,20.70,-9.80
8-February-2018,570.00,580.10,560.00,578.05,572.199857259175118866,99481,2406,56923014.00,22942,23.06,20.10,8.05
7-February-2018,585.00,585.00,567.60,569.65,573.900521450580706328,42190,988,24212863.00,13026,30.87,17.40,-15.35
6-February-2018,579.60,583.00,568.05,571.75,575.268666421298000245,81510,1988,46890149.00,21222,26.04,14.95,-7.85
5-February-2018,580.00,595.00,577.00,591.15,585.137462618480409549,59187,1295,34632531.00,13049,22.05,18.00,11.15
2-February-2018,585.85,602.30,580.85,590.85,593.945438897026572986,120837,2591,71770585.00,31356,25.95,21.45,5.00
1-February-2018,601.00,611.90,582.60,589.00,592.008847407238008118,69964,1922,41419307.00,23662,33.82,29.30,-12.00
31-January-2018,610.10,613.10,601.60,605.35,605.796677201818581303,59167,1497,35843172.00,14897,25.18,11.50,-4.75
30-January-2018,622.10,622.10,608.35,615.75,613.432109853229656590,42311,1076,25954926.00,12990,30.70,13.75,-6.35
29-January-2018,637.00,640.25,615.05,622.20,631.460621283420841592,66089,1349,41732601.00,23928,36.21,25.20,-14.80
25-January-2018,638.50,647.60,633.05,636.10,641.285422732591363030,73498,1803,47133196.00,25969,35.33,14.55,-2.40
24-January-2018,632.00,644.85,624.75,640.35,638.684001368264316471,99396,2282,63482635.00,28973,29.15,20.10,8.35
23-January-2018,620.00,635.00,620.00,631.70,630.140255490529230381,79455,1441,50067794.00,33508,42.17,15.00,11.70
22-January-2018,624.60,626.50,618.70,621.35,621.669567246782689871,29994,745,18646357.00,7275,24.25,7.80,-3.25
19-January-2018,629.00,631.85,618.60,624.60,624.191951226180386581,36577,831,22831069.00,9873,26.99,13.25,-4.40
18-January-2018,631.85,636.05,623.80,625.05,627.697479137089234391,57758,1307,36254551.00,17673,30.60,12.25,-6.80
17-January-2018,626.00,631.45,616.00,629.95,625.332433172155825198,54805,1404,34271344.00,19399,35.40,15.45,3.95
16-January-2018,625.20,633.60,623.80,625.75,627.973033707865168539,106800,2347,67067520.00,44163,41.35,9.80,0.55
15-January-2018,627.00,642.00,620.05,623.05,627.851510082535247513,54401,1463,34155750.00,19141,35.19,21.95,-3.95
12-January-2018,630.00,630.95,618.00,624.25,624.951966553816091431,44011,1297,27504761.00,16293,37.02,12.95,-5.75
11-January-2018,610.50,628.00,610.50,624.65,622.941443962501748985,100058,2264,62330275.00,36571,36.55,17.50,14.15
10-January-2018,608.80,624.65,603.55,615.55,618.639471636338710782,248011,5382,153429394.00,52594,21.21,21.10,6.75
9-January-2018,603.00,607.00,600.30,602.05,603.164959867146415721,57808,1298,34867760.00,20958,36.25,6.70,-0.95
8-January-2018,594.50,611.85,594.50,600.35,603.584837066499197543,143310,3494,86499743.00,43295,30.21,17.35,5.85
5-January-2018,592.00,596.05,589.00,592.45,592.640328104888850105,45839,1189,27166040.00,13330,29.08,7.05,0.45
4-January-2018,594.00,594.00,583.50,589.45,588.712397363673183843,54318,2183,31977680.00,18823,34.65,10.50,-4.55
3-January-2018,599.70,599.70,588.50,592.25,591.803599300004729697,42286,923,25025007.00,9752,23.06,11.20,-7.45
2-January-2018,595.00,602.00,589.00,592.80,593.763173944864601122,81980,1716,48676705.00,29637,36.15,13.00,-2.20
1-January-2018,597.70,603.20,594.15,595.95,598.642290293799990608,63887,1246,38245460.00,15185,23.77,9.05,-1.75
29-December-2017,594.00,602.35,593.90,595.05,597.387443574771193108,120735,2288,72125573.00,34986,28.98,8.45,1.05
28-December-2017,589.00,598.10,581.75,592.85,591.420037189319042779,173168,3887,102415025.00,54679,31.58,16.35,3.85
27-December-2017,575.00,587.80,572.60,584.20,582.259540733760780056,146451,3030,85272492.00,31261,21.35,15.20,9.20
26-December-2017,568.70,576.80,564.70,572.80,571.420454054676590415,69463,1389,39692579.00,18198,26.20,12.10,4.10
22-December-2017,565.00,575.00,561.00,568.70,568.236804369240744666,80197,1686,45570887.00,27175,33.89,14.00,3.70
21-December-2017,564.70,568.50,558.95,562.90,564.690452505436542821,86452,1772,48818619.00,31930,36.93,9.55,-1.80
20-December-2017,540.10,562.65,540.10,558.80,555.823648587536555217,165845,3677,92180573.00,41748,25.17,22.55,18.70
19-December-2017,537.80,545.00,535.75,542.10,540.459872242630426521,55261,2441,29866353.00,18896,34.19,9.25,4.30
18-December-2017,539.00,544.00,528.00,538.20,536.524385621806825245,65961,1364,35389685.00,15431,23.39,16.00,-0.80
15-December-2017,537.80,539.05,534.95,537.10,536.749247790755526072,42209,1031,22655649.00,17417,41.26,4.10,-0.70
14-December-2017,538.00,546.90,530.00,533.40,533.090032154340836012,38564,941,20558084.00,13580,35.21,16.90,-4.60
13-December-2017,541.50,543.10,531.40,532.05,535.887122674701838586,55423,1283,29700472.00,18070,32.60,11.70,-9.45
12-December-2017,542.90,548.90,538.50,540.05,543.577481607025923500,51922,1146,28223630.00,17963,34.60,10.40,-2.85
11-December-2017,536.05,545.00,536.05,541.45,542.425819209039548022,53100,1306,28802811.00,20493,38.59,8.95,5.40
8-December-2017,529.15,540.00,529.15,535.90,536.672556332335966193,70519,3078,37845612.00,28249,40.06,10.85,6.75
7-December-2017,537.00,538.95,530.45,532.65,534.288594023436634694,90286,9358,48238780.00,38564,42.71,8.50,-4.35
6-December-2017,545.00,545.70,534.00,536.55,539.896986911071418113,68302,1908,36876044.00,25813,37.79,11.70,-8.45
5-December-2017,540.00,550.05,533.40,546.35,542.334826957598697485,71861,1755,38972723.00,17105,23.80,16.65,6.35
4-December-2017,555.00,565.00,541.40,542.80,547.235111058828561956,93509,2495,51171408.00,30577,32.70,23.60,-12.20
1-December-2017,570.00,572.40,552.30,554.75,563.342563274658889698,576060,2945,324519117.00,155852,27.05,20.10,-15.25
30-November-2017,570.00,572.50,562.25,564.75,567.837904605054791917,63148,1809,35857828.00,34080,53.97,10.25,-5.25
29-November-2017,579.75,579.75,570.00,571.00,573.240257595772787318,78728,1765,45130059.00,33713,42.82,9.75,-8.75
28-November-2017,580.00,584.00,570.25,571.80,576.403414913009243779,185422,4037,106877874.00,77947,42.04,13.75,-8.20
27-November-2017,590.00,593.80,589.00,591.20,591.026589423648247177,20196,453,11936373.00,10183,50.42,4.80,1.20
24-November-2017,590.00,596.50,590.00,592.95,593.871926915131942626,34371,636,20411972.00,9933,28.90,6.50,2.95
23-November-2017,587.15,595.15,587.15,593.80,592.850733496332518337,24540,573,14548557.00,7242,29.51,8.00,6.65
22-November-2017,591.30,599.35,589.00,590.40,593.715286876504463877,65638,1339,38970284.00,15648,23.84,10.35,-0.90
21-November-2017,594.30,600.00,590.85,592.40,596.099538872259525928,61805,1211,36841932.00,18080,29.25,9.15,-1.90
20-November-2017,586.90,595.55,586.90,591.90,591.194819946152120260,71312,1205,42159285.00,13995,19.63,8.65,5.00
17-November-2017,583.55,593.00,583.00,583.80,586.558934054843350726,46569,999,27315463.00,14256,30.61,10.00,0.25
16-November-2017,587.00,587.70,565.00,580.70,581.874938688149348236,67279,1336,39147964.00,17939,26.66,22.70,-6.30
15-November-2017,583.00,590.50,580.50,583.10,585.942371314234530981,69219,1470,40558345.00,17559,25.37,10.00,0.10
14-November-2017,577.00,586.40,575.30,581.90,581.594247904719894133,56675,1308,32961854.00,16019,28.26,11.10,4.90
13-November-2017,585.40,588.05,576.00,577.85,580.621006082640005593,57212,1602,33218489.00,19052,33.30,12.05,-7.55
10-November-2017,592.00,594.55,582.65,584.80,586.758109333411331129,68378,2241,40121346.00,29654,43.37,11.90,-7.20
9-November-2017,598.05,602.25,583.50,592.65,591.232494867048983018,98871,2186,58455748.00,27346,27.66,18.75,-5.40
8-November-2017,604.05,611.20,592.00,597.25,599.350800503297466157,92192,2758,55255349.00,29726,32.24,19.20,-6.80
7-November-2017,625.00,627.55,600.00,603.45,611.317088153987918501,107437,3007,65678074.00,34167,31.80,27.55,-21.55
6-November-2017,627.00,633.45,621.40,622.80,626.579360552386670669,66620,1659,41742717.00,21646,32.49,12.05,-4.20
3-November-2017,656.00,656.00,625.20,626.80,634.598110726405011795,203041,4465,128849435.00,46794,23.05,30.80,-29.20
2-November-2017,634.00,652.00,625.40,648.55,645.810327278264667812,998172,8656,644629786.00,668992,67.02,26.60,14.55
1-November-2017,619.50,628.75,619.00,621.25,623.576404051974084547,111748,2165,69683416.00,35036,31.35,9.75,1.75
31-October-2017,619.00,624.90,616.50,618.20,620.569339756304902238,88225,2266,54749730.00,34029,38.57,8.40,-0.80
30-October-2017,610.00,624.20,608.65,615.45,616.054584435568926465,57837,1520,35630749.00,16313,28.21,15.55,5.45
27-October-2017,595.05,616.60,595.05,610.10,610.189651790967603901,112174,2288,68447414.00,30552,27.24,21.55,15.05
26-October-2017,603.35,606.80,596.55,599.45,602.376005761909661487,48595,1217,29272462.00,18233,37.52,10.25,-3.90
25-October-2017,605.00,607.45,601.05,603.35,604.691641403204850584,39253,982,23735961.00,13731,34.98,6.40,-1.65
24-October-2017,598.00,605.75,598.00,601.10,601.282236647978754794,33890,1007,20377455.00,11175,32.97,7.75,3.10
23-October-2017,610.00,610.00,595.10,598.65,601.458736404405573978,58199,2053,35004297.00,20603,35.40,14.90,-11.35
19-October-2017,615.00,615.00,607.05,609.50,609.954693242861181792,28296,764,17259278.00,17761,62.77,7.95,-5.50
18-October-2017,611.00,611.80,604.20,606.25,608.313698921302938519,37638,1347,22895711.00,15274,40.58,7.60,-4.75
17-October-2017,613.50,615.55,607.35,610.90,612.107770225243236038,37515,1403,22963223.00,14926,39.79,8.20,-2.60
16-October-2017,605.50,614.00,601.35,611.25,608.243524527860609249,51309,1576,31208367.00,17124,33.37,12.65,5.75
13-October-2017,605.00,607.00,600.05,603.20,603.541839270919635459,43452,913,26225100.00,16025,36.88,6.95,-1.80
12-October-2017,601.50,607.80,601.50,604.40,604.483494891275871102,38170,1137,23073135.00,11630,30.47,6.30,2.90
11-October-2017,610.00,614.10,598.00,601.50,605.443613487891252227,45463,1078,27525283.00,16656,36.64,16.10,-8.50
10-October-2017,607.00,617.60,607.00,610.45,612.772442844873420310,48902,925,29965798.00,17240,35.25,10.60,3.45
9-October-2017,614.00,616.75,607.60,610.10,611.509840011326631742,35315,898,21595470.00,11685,33.09,9.15,-3.90
6-October-2017,613.05,617.00,611.00,613.50,613.692696681580909768,42912,958,26334781.00,13579,31.64,6.00,0.45
5-October-2017,600.00,626.65,600.00,611.40,617.603893903917243248,132823,3046,82032002.00,27942,21.04,26.65,11.40
4-October-2017,600.00,607.00,598.80,600.80,603.310990762882730810,42654,1049,25733627.00,13219,30.99,8.20,0.80
3-October-2017,603.00,607.35,596.05,596.85,601.858353100643849542,35412,1006,21313008.00,12693,35.84,11.30,-6.15
29-September-2017,601.20,606.10,596.00,597.70,600.787383118683368198,39677,1079,23837441.00,9876,24.89,10.10,-3.50
28-September-2017,612.00,612.00,593.00,595.65,600.677392169323865049,72382,1678,43478231.00,18359,25.36,19.00,-16.35
27-September-2017,617.00,617.00,598.50,601.40,607.291893526920750151,59508,1343,36138726.00,19053,32.02,18.50,-15.60
26-September-2017,616.00,620.05,609.50,612.80,615.103584320991598249,62606,1230,38509175.00,16887,26.97,10.55,-3.20
25-September-2017,629.00,631.95,607.40,613.30,613.670521090336196902,134564,2890,82577960.00,24291,18.05,24.55,-15.70
22-September-2017,630.00,641.25,622.65,627.85,634.481713738064531396,169034,3938,107248982.00,30700,18.16,18.60,-2.15
21-September-2017,611.00,637.55,611.00,628.75,627.303009793448745443,245266,6632,153856100.00,62333,25.41,26.55,17.75
20-September-2017,620.50,622.00,610.50,611.40,613.534642552978307700,79844,1724,48987060.00,27853,34.88,11.50,-9.10
19-September-2017,615.90,621.50,611.90,615.45,616.894253902171727979,154209,3768,95130646.00,40444,26.23,9.60,-0.45
18-September-2017,609.40,614.00,600.45,606.95,608.617189780053593696,75382,1856,45878781.00,17608,23.36,13.55,-2.45
15-September-2017,607.00,607.00,596.05,603.85,600.581996906146585991,102138,1650,61342244.00,52162,51.07,10.95,-3.15
14-September-2017,600.15,609.40,600.15,604.10,605.151282519953695241,114891,2509,69526436.00,32226,28.05,9.25,3.95
13-September-2017,581.00,605.00,579.80,594.70,595.188536017675067049,169278,4030,100752325.00,36844,21.77,25.20,13.70
12-September-2017,574.00,583.60,567.95,581.65,576.681915937217023845,106016,2444,61137510.00,32615,30.76,15.65,7.65
11-September-2017,590.00,592.00,570.50,571.45,575.691131190205637623,109124,2664,62821719.00,44640,40.91,21.50,-18.55
8-September-2017,595.00,601.70,576.15,580.75,583.375036741186437747,173511,5522,101221986.00,69868,40.27,25.55,-14.25
7-September-2017,608.00,608.00,597.00,599.60,600.940081031855183436,53806,1536,32334182.00,23733,44.11,11.00,-8.40
6-September-2017,602.00,606.75,600.00,600.75,601.997667599626815940,30012,922,18067154.00,11851,39.49,6.75,-1.25
5-September-2017,606.00,610.50,601.35,603.25,604.651059777192088768,45151,1163,27300600.00,13941,30.88,9.15,-2.75
4-September-2017,611.05,616.05,599.00,603.60,604.531455632584118299,96501,1728,58337890.00,42912,44.47,17.05,-7.45
1-September-2017,610.00,621.70,608.70,610.15,612.372695602452376666,188878,1336,115663730.00,154711,81.91,13.00,0.15
31-August-2017,617.30,617.80,606.70,608.85,610.552930203637494170,64330,1420,39276870.00,15303,23.79,11.10,-8.45
30-August-2017,616.00,624.00,613.10,617.30,619.025815896593587088,28006,729,17336437.00,6820,24.35,10.90,1.30
29-August-2017,625.90,625.90,613.50,615.00,618.879656480035690385,35864,1067,22195500.00,10043,28.00,12.40,-10.90
28-August-2017,621.00,634.75,617.55,627.10,626.875065994181278995,89023,2388,55806299.00,14448,16.23,17.20,6.10
24-August-2017,603.10,624.15,602.40,617.65,616.327191843347004898,77777,2357,47936080.00,23475,30.18,21.75,14.55
23-August-2017,610.00,611.70,594.75,601.40,601.660687347431361255,36459,1241,21935947.00,11557,31.70,16.95,-8.60
22-August-2017,602.00,606.50,591.55,601.40,599.561700248126063629,76977,1563,46152461.00,42237,54.87,14.95,-0.60
21-August-2017,611.00,614.30,591.50,595.70,601.265023007827755420,58893,1864,35410301.00,28485,48.37,22.80,-15.30
18-August-2017,619.30,619.30,605.55,611.00,611.799817317473168503,48171,1726,29471009.00,14744,30.61,13.75,-8.30
17-August-2017,621.00,637.00,617.00,620.05,621.540832857957786651,43825,1387,27239027.00,14725,33.60,20.00,-0.95
16-August-2017,631.00,639.15,620.95,623.40,626.759185668171354347,77757,2715,48734914.00,24612,31.65,18.20,-7.60
14-August-2017,617.50,634.00,610.00,630.30,624.528971731884952475,40505,1294,25296546.00,13868,34.24,24.00,12.80
11-August-2017,600.00,621.00,592.60,616.90,611.300270530916924464,159686,2685,97616095.00,92210,57.74,28.40,16.90
10-August-2017,646.00,651.00,600.20,612.15,626.049837456354020987,107971,3428,67595227.00,30100,27.88,50.80,-33.85
9-August-2017,675.00,675.00,640.00,645.65,652.808497006827236871,99894,3036,65211652.00,34246,34.28,35.00,-29.35
8-August-2017,690.00,692.10,665.20,668.05,676.893573551263001485,64608,2064,43732740.00,25262,39.10,26.90,-21.95
7-August-2017,693.05,694.35,686.80,688.40,689.793366952324969835,32323,1020,22296191.00,10654,32.96,7.55,-4.65
4-August-2017,698.20,698.45,686.60,688.80,691.051042503405161876,114532,3369,79147458.00,61345,53.56,11.85,-9.40
3-August-2017,708.80,711.45,700.00,702.25,705.692622697490419087,64712,1769,45666781.00,22823,35.27,11.45,-6.55
2-August-2017,704.00,705.05,698.50,703.25,701.746505641494454735,41567,1486,29169497.00,15694,37.76,6.55,-0.75
1-August-2017,703.00,715.90,699.00,701.30,705.596337214877001587,93863,2459,66229389.00,16244,17.31,16.90,-1.70
31-July-2017,720.90,720.90,695.00,697.40,702.852832888517315669,124396,2778,87432081.00,46379,37.28,25.90,-23.50
28-July-2017,741.25,748.00,712.00,717.85,730.349605094643930987,397437,9521,290267956.00,67260,16.92,36.00,-23.40
27-July-2017,710.00,718.00,708.00,715.75,714.200483977414387328,109096,3062,77916416.00,44902,41.16,10.00,5.75
26-July-2017,704.40,709.00,694.65,706.70,704.005766267336083909,40234,1326,28324968.00,11137,27.68,14.35,2.30
25-July-2017,696.60,705.50,690.05,701.60,698.200300711765347819,82471,2183,57581277.00,25961,31.48,15.45,5.00
24-July-2017,690.00,696.55,685.90,688.90,691.045269676942274807,43274,1188,29904293.00,16140,37.30,10.65,-1.10
21-July-2017,708.20,708.85,695.05,696.55,700.216139102413480581,29791,930,20860139.00,9577,32.15,13.80,-11.65
20-July-2017,710.00,713.50,702.00,706.90,707.596083804502410766,57658,1664,40798575.00,11968,20.76,11.50,-3.10
19-July-2017,692.00,713.30,692.00,707.65,706.662790257206712375,158394,5294,111931146.00,36739,23.19,21.30,15.65
18-July-2017,680.00,693.00,680.00,691.65,689.931434286560971995,53992,1827,37250778.00,18068,33.46,13.00,11.65
17-July-2017,687.00,689.70,681.50,682.95,683.440396913731630477,53009,1058,36228492.00,25937,48.93,8.20,-4.05
14-July-2017,684.00,689.50,677.00,683.60,683.121622557050231892,43339,1156,29605808.00,9984,23.04,12.50,-0.40
13-July-2017,683.10,686.70,681.45,682.85,683.980279585537051965,50861,1528,34787921.00,14751,29.00,5.25,-0.25
12-July-2017,671.00,683.00,668.20,680.80,675.686684844353556009,44010,1192,29736971.00,13582,30.86,14.80,9.80
11-July-2017,676.00,681.50,667.00,670.70,673.581969015199261289,68227,1849,45956477.00,19309,28.30,14.50,-5.30
10-July-2017,666.00,685.00,666.00,676.30,676.001754868173457090,331079,7636,223809985.00,135989,41.07,19.00,10.30
7-July-2017,660.10,670.00,656.55,665.75,665.151719570780765949,89092,2280,59259697.00,22207,24.93,13.45,5.65
6-July-2017,656.35,665.50,653.05,655.20,660.012127962378565682,64644,2250,42665824.00,23717,36.69,12.45,-1.15
5-July-2017,644.00,657.65,640.85,656.35,650.721416462610661141,90253,2380,58729560.00,28671,31.77,16.80,12.35
4-July-2017,644.90,646.05,638.10,642.30,642.152407106768423128,65909,1595,42323623.00,18568,28.17,7.95,-2.60
3-July-2017,633.30,641.95,632.05,639.35,637.848413446434181589,50928,1382,32484344.00,14425,28.32,9.90,6.05
30-June-2017,625.00,636.30,625.00,632.05,632.231315052683323003,46789,1260,29581471.00,11051,23.62,11.30,7.05
29-June-2017,629.15,632.50,626.00,627.95,630.504615384615384615,46150,1415,29097788.00,15406,33.38,6.50,-1.20
28-June-2017,629.50,633.00,627.95,628.90,629.880761282260777622,41614,1217,26211858.00,14462,34.75,5.05,-0.60
27-June-2017,630.00,632.75,627.50,629.60,629.763788306751332639,94174,2182,59307375.00,47684,50.63,5.25,-0.40
23-June-2017,629.70,632.00,622.30,627.45,626.673769628643107132,64574,1844,40466832.00,19539,30.26,9.70,-2.25
22-June-2017,642.00,644.00,626.10,628.25,632.040059790732436472,66900,1710,42283480.00,19708,29.46,17.90,-13.75
21-June-2017,632.80,632.80,626.10,628.70,628.709887096501176430,59077,1648,37142294.00,14497,24.54,6.70,-4.10
20-June-2017,634.00,635.00,627.00,628.40,630.440708937485143807,67312,1651,42436225.00,17907,26.60,8.00,-5.60
19-June-2017,638.05,639.45,634.20,636.85,636.248582961181724493,46576,1314,29633914.00,13174,28.28,5.25,-1.20
16-June-2017,638.50,644.00,635.10,638.40,639.756840137816110072,88814,2088,56819364.00,20312,22.87,8.90,-0.10
15-June-2017,631.00,643.50,629.60,637.35,637.566714150047483380,122148,2971,77877499.00,20876,17.09,13.90,6.35
14-June-2017,632.40,635.05,628.00,631.95,632.353126334146182623,138197,2439,87389305.00,36933,26.72,7.05,-0.45
13-June-2017,632.00,641.55,627.05,631.05,630.960239535765065729,372053,3935,234750650.00,247031,66.40,14.50,-0.95
12-June-2017,648.00,652.15,634.50,637.05,645.121101422441294584,79933,2197,51566465.00,25542,31.95,17.65,-10.95
9-June-2017,653.60,654.75,646.90,648.10,649.677455341382475464,70815,1672,46006909.00,21937,30.98,7.85,-5.50
8-June-2017,648.25,658.90,645.00,653.60,654.408463834631623295,111557,2924,73003845.00,21901,19.63,13.90,5.35
7-June-2017,640.00,653.95,639.00,648.25,649.052037111738604275,84286,2049,54706000.00,21629,25.66,14.95,8.25
6-June-2017,645.80,648.95,640.10,642.55,644.106458638630833142,148762,1819,95818565.00,96827,65.09,8.85,-3.25
5-June-2017,655.00,657.45,641.70,645.00,649.498703471350899205,83685,2269,54353299.00,24010,28.69,15.75,-10.00
2-June-2017,662.15,664.45,648.45,650.35,654.906164825470393827,151894,3843,99476317.00,35720,23.52,16.00,-11.80
1-June-2017,639.80,659.50,639.00,657.65,652.806971407684184875,196976,5575,128587306.00,44704,22.70,20.50,17.85
31-May-2017,638.00,643.15,630.00,636.50,636.871153030058515184,167307,4598,106553002.00,48388,28.92,13.15,-1.50
30-May-2017,610.90,629.70,608.85,624.55,623.218267837606079422,169095,4636,105383093.00,32557,19.25,20.85,13.65
29-May-2017,625.00,636.60,600.00,611.40,616.283517149704304555,316711,8821,195183769.00,47445,14.98,36.60,-13.60
26-May-2017,615.00,628.70,611.95,620.55,621.376449333047216242,144463,3992,89765906.00,32717,22.65,16.75,5.55
25-May-2017,633.10,636.70,608.50,611.95,618.409331815103861271,264343,7458,163472178.00,55819,21.12,28.20,-21.15
24-May-2017,650.00,651.70,628.00,632.20,636.213475544235284753,276397,7143,175847496.00,87204,31.55,23.70,-17.80
23-May-2017,674.90,674.90,649.00,650.90,655.369409475217923962,198349,5509,129991867.00,49656,25.03,25.90,-24.00
22-May-2017,665.70,672.85,653.50,668.65,664.930290296434445257,254154,6554,168994693.00,58693,23.09,19.35,2.95
19-May-2017,679.50,682.00,658.00,659.85,668.746133308162192046,296636,8759,198374178.00,94646,31.91,24.00,-19.65
18-May-2017,693.00,697.00,672.50,675.30,684.421902489798550150,325689,12152,222908685.00,111112,34.12,24.50,-17.70
17-May-2017,715.70,752.20,696.15,697.90,708.303668820599265968,448482,11665,317661446.00,111314,24.82,56.05,-17.80
16-May-2017,722.90,730.00,710.05,714.10,719.679877281497549225,333772,12812,240208992.00,85902,25.74,19.95,-8.80
15-May-2017,761.00,765.90,709.00,716.25,727.944318200427121132,1038113,24361,755688460.00,413251,39.81,56.90,-44.75
12-May-2017,813.95,835.00,752.60,759.35,776.297486976372114803,1537590,48604,1193627253.00,393222,25.57,82.40,-54.60
11-May-2017,893.00,930.00,891.75,904.35,901.921555110017645831,158111,3570,142603719.00,67695,42.81,38.25,11.35
10-May-2017,862.60,889.95,862.60,888.35,880.779830210772833723,34160,1170,30087439.00,13380,39.17,27.35,25.75
9-May-2017,853.05,863.80,847.05,860.25,855.203968984097778945,22827,970,19521741.00,7351,32.20,16.75,7.20
8-May-2017,851.00,854.60,839.15,852.35,848.261639884631231973,26697,872,22646041.00,4455,16.69,15.45,1.35
5-May-2017,865.00,866.00,837.40,846.25,848.924410920929632853,31023,1519,26336182.00,8169,26.33,28.60,-18.75
4-May-2017,888.00,889.00,859.00,862.40,868.649750608978076789,34484,1757,29954518.00,10701,31.03,30.00,-25.60
3-May-2017,892.00,896.80,877.50,884.70,886.467107799049209816,15566,763,13798747.00,3736,24.00,19.30,-7.30
2-May-2017,895.00,902.80,887.70,891.45,894.353593408270179543,19661,968,17583886.00,4186,21.29,15.10,-3.55
28-April-2017,882.25,895.35,882.20,892.75,890.170822744599745870,12592,708,11209031.00,2871,22.80,13.15,10.50
27-April-2017,897.90,898.00,879.15,883.45,891.033709144744334358,17562,852,15648334.00,5566,31.69,18.85,-14.45
26-April-2017,901.00,902.10,886.20,893.05,893.111540358375801413,24332,1117,21731190.00,8298,34.10,15.90,-7.95
25-April-2017,890.00,905.00,881.50,900.00,893.585961270000357948,27937,1193,24964111.00,8883,31.80,23.50,10.00
24-April-2017,902.60,902.60,876.10,883.10,886.505115133267184452,29227,1737,25909885.00,8456,28.93,26.50,-19.50
21-April-2017,910.00,912.95,888.10,902.60,904.714298261022308097,22772,1033,20602154.00,7055,30.98,24.85,-7.40
20-April-2017,918.95,918.95,903.00,908.40,910.960131360259516610,49939,2018,45492438.00,10691,21.41,15.95,-10.55
19-April-2017,895.10,913.60,890.50,911.60,904.626151544578882444,38101,1578,34467161.00,11690,30.68,23.10,16.50
18-April-2017,891.25,908.40,888.00,892.25,899.614132282929041033,70576,2700,63491167.00,31367,44.44,20.40,1.00
